file,question,answer
7001078933.csv,Người chơi bóng đá đang làm gì?,Người chơi bóng đá có vẻ như đang chuẩn bị cho một bài tập.
7001078933.csv,Thời tiết trong bức ảnh như thế nào?,Thời tiết trong bức ảnh có vẻ u ám.
7001078933.csv,Người chơi bóng đá mặc trang phục màu gì?,Người chơi bóng đá mặc trang phục màu đen và trắng.
7001078933.csv,Cầu thủ trong ảnh đang mặc loại mũ bảo hiểm màu gì?,Màu trắng.
7001078933.csv,Có bao nhiêu chướng ngại vật mini màu cam được nhìn thấy trong ảnh?,Có khoảng 8 cái.
7001078933.csv,Thời tiết trong ảnh như thế nào?,Trời có vẻ u ám hoặc nhiều mây.
7001078933.csv,Sân tập có vẻ được đặt ở khu vực nào?,"Khu dân cư, có nhà cửa ở phía xa."
7001078933.csv,Cầu thủ đang mặc loại áo gì dưới áo jersey đen?,Áo tay dài màu xám.
7001078933.csv,Có bao nhiêu cầu thủ bóng bầu dục trong ảnh?,Có hai cầu thủ bóng bầu dục trong ảnh.
7001078933.csv,Cầu thủ bên trái đội mũ bảo hiểm màu gì?,Cầu thủ bên trái đội mũ bảo hiểm màu trắng.
7001078933.csv,Màu sắc chủ đạo của áo đấu của cầu thủ bên phải là gì?,Màu sắc chủ đạo của áo đấu của cầu thủ bên phải là xám và đen.
7001078933.csv,Các cầu thủ đang ở đâu?,Các cầu thủ đang ở trên một sân cỏ.
7001078933.csv,Có bao nhiêu người mặc trang phục bóng bầu dục trong ảnh?,Có hai người mặc trang phục bóng bầu dục trong ảnh.
7001078933.csv,Trang phục của một trong hai người có màu gì?,Một người mặc áo đấu màu tối với sọc trắng.
7001078933.csv,Họ đang ở đâu?,Họ đang ở trên một sân cỏ.
7001078933.csv,"Ngoài hai người chơi bóng, ta còn thấy những gì khác trong ảnh?","Ta còn thấy nhà cửa, cây cối, đường và xe hơi."
7001078933.csv,Một trong hai người có mặc đồ bảo vệ tay không?,"Có, một trong hai người có vẻ như đang mặc đồ bảo vệ tay."
7001078933.csv,Có bao nhiêu người trong ảnh đang mặc đồ bóng bầu dục?,Có hai người đang mặc đồ bóng bầu dục.
7001078933.csv,Người đàn ông đội mũ len màu gì?,Người đàn ông đội mũ len màu xanh lá cây.
7001078933.csv,Người mặc đồ bóng bầu dục màu đen đang ở vị trí nào trong ảnh?,Người mặc đồ bóng bầu dục màu đen đứng ở bên trái của ảnh.
7001078933.csv,"Ngoài người chơi, còn có những phương tiện giao thông nào trong ảnh?",Có những chiếc xe hơi trong ảnh.
7001078933.csv,Địa điểm trong ảnh có vẻ là ở đâu?,Địa điểm trong ảnh có vẻ là một sân cỏ hoặc công viên.
7001078933.csv,Có bao nhiêu người trong ảnh đang mặc trang phục bóng bầu dục?,Có hai người đang mặc trang phục bóng bầu dục.
7001078933.csv,Người đàn ông đang ngồi xổm đội mũ màu gì?,Người đàn ông đang ngồi xổm đội mũ màu xanh lá cây.
7001078933.csv,Trên áo của người mặc trang phục bóng bầu dục có chữ gì?,Trên áo của người mặc trang phục bóng bầu dục có chữ 'PRO'.
7001078933.csv,Nền của bức ảnh có những loại nhà cửa gì?,Nền của bức ảnh có những loại nhà ở khu dân cư ngoại ô.
7001078933.csv,Thời tiết trong ảnh có vẻ như thế nào?,Thời tiết trong ảnh có vẻ u ám.
7001078933.csv,Cầu thủ bên trái mặc đồng phục màu gì?,Cầu thủ bên trái mặc đồng phục màu đen và xám.
7001078933.csv,Cầu thủ bên phải đang làm gì?,Cầu thủ bên phải đang đứng.
7001078933.csv,Màu mũ bảo hiểm của cầu thủ bên phải là gì?,Màu mũ bảo hiểm của cầu thủ bên phải là xám.
7001078933.csv,Người đàn ông ở phía trước mặc trang phục màu gì?,"Anh ta mặc mũ bảo hiểm trắng, áo đấu đen, quần short đen sọc trắng."
7001078933.csv,Các rào cản nhanh nhẹn có màu gì?,Các rào cản nhanh nhẹn có màu cam.
7001078933.csv,Cầu thủ ở phía trước đang làm gì?,"Anh ta đang ở tư thế chuẩn bị, tay đặt lên đầu gối."
7001078933.csv,"Ngoài cầu thủ và dụng cụ tập luyện, còn có gì ở phía sau?",Ở phía sau có nhà và cây cối.
7001078933.csv,Các cầu thủ trong ảnh đang mặc trang phục của môn thể thao nào?,Các cầu thủ đang mặc trang phục của môn bóng bầu dục.
7001078933.csv,Có bao nhiêu cầu thủ được nhìn thấy trong ảnh?,Có hai cầu thủ được nhìn thấy trong ảnh.
7001078933.csv,Một trong những cầu thủ đang ở trong tư thế gì?,"Một trong những cầu thủ đang ở tư thế cúi người, sẵn sàng."
7001078933.csv,"Ngoài các cầu thủ, những dụng cụ tập luyện nào có thể được nhìn thấy trong ảnh?",Có thể nhìn thấy một bộ rào cản nhanh nhẹn và một miếng đệm hình trụ màu đen.
7001078933.csv,Thời tiết trong ảnh như thế nào?,Thời tiết trong ảnh có vẻ u ám và có mưa nhẹ.
7001078933.csv,Cầu thủ ở tiền cảnh đang mặc trang phục màu gì?,"Cầu thủ ở tiền cảnh đang mặc áo đen, quần short đen và đội mũ bảo hiểm trắng."
7001078933.csv,Có những dụng cụ tập luyện nào trong ảnh?,Có các hàng rào agility màu cam và một thiết bị hình trụ màu đen.
7001078933.csv,Các cầu thủ đang tập luyện ở đâu?,Các cầu thủ đang tập luyện trên một sân cỏ.
7001078933.csv,Có bao nhiêu cầu thủ có thể thấy rõ trong ảnh?,Có thể thấy rõ ít nhất hai cầu thủ.
7001078933.csv,Có bao nhiêu cầu thủ bóng bầu dục trong ảnh?,Có hai cầu thủ bóng bầu dục.
7001078933.csv,Những vật thể màu cam giữa hai cầu thủ là gì?,Đó là những hàng rào tập chạy (agility hurdles).
7001078933.csv,Cầu thủ mặc áo tối màu đang làm gì?,Cầu thủ mặc áo tối màu đang ở tư thế sẵn sàng.
7001078933.csv,"Ngoài hàng rào, còn có vật dụng tập luyện nào khác không?","Có, còn có những vật thể hình trụ màu đen có đệm."
7001078933.csv,Hai người trong ảnh đang chơi môn thể thao gì?,Bóng bầu dục Mỹ.
7001078933.csv,Cầu thủ bên trái mặc áo màu gì?,Màu trắng.
7001078933.csv,Những chướng ngại vật màu cam bên cạnh cầu thủ bên trái dùng để làm gì?,Tập luyện sự nhanh nhẹn.
7001078933.csv,Cầu thủ bên phải mặc quần màu gì?,Màu đen.
7001078933.csv,Có bao nhiêu cầu thủ trong ảnh?,Hai.
7001078933.csv,Cầu thủ nào mặc áo jersey màu trắng?,Cầu thủ gần hàng rào tập màu cam mặc áo jersey màu trắng.
7001078933.csv,Những vật dụng tập luyện nào được nhìn thấy trong ảnh?,Trong ảnh có hàng rào tập màu cam và hình nộm tập luyện màu đen.
7001078933.csv,Cầu thủ mặc áo tối màu đang đứng ở tư thế nào?,"Cầu thủ mặc áo tối màu đang ở tư thế khom người, có vẻ như đang chuẩn bị di chuyển."
7001078933.csv,Sân tập nằm ở đâu?,Sân tập nằm trên một bãi cỏ xanh.
7001078933.csv,Các cầu thủ đang chơi môn thể thao nào?,Bóng bầu dục.
7001078933.csv,Có bao nhiêu người trong bức ảnh mặc mũ bảo hiểm?,Hai.
7001078933.csv,Cầu thủ bên trái mặc áo màu gì?,Sáng màu.
7001078933.csv,Sân tập có màu gì?,Màu xanh lá.
7001078933.csv,"Ngoài cầu thủ, còn có những vật thể nào trên sân?",Chướng ngại vật có đệm.
7001078933.csv,Màu sắc của mũ bảo hiểm của cầu thủ bên phải là gì?,Màu sắc của mũ bảo hiểm của cầu thủ bên phải là màu trắng.
7001078933.csv,Có những loại thiết bị thể thao nào khác có thể nhìn thấy trong ảnh?,"Ngoài các cầu thủ và thiết bị bảo hộ, có thể nhìn thấy các hình nón màu cam và các chướng ngại vật nhỏ khác."
7001078933.csv,Cầu thủ bên trái mặc áo màu gì?,Cầu thủ bên trái mặc áo phông sáng màu.
7001078933.csv,Cầu thủ đang mặc trang phục màu gì?,Cầu thủ đang mặc áo đen và quần soóc đen có sọc trắng.
7001078933.csv,Có bao nhiêu hình nộm tập luyện màu đen được nhìn thấy trong ảnh?,Có hai hình nộm tập luyện màu đen được nhìn thấy.
7001078933.csv,Các nón màu cam được sử dụng để làm gì?,Các nón màu cam có thể được sử dụng để đánh dấu các bài tập hoặc các khu vực tập luyện.
7001078933.csv,Người đàn ông đứng ở phía sau đang làm gì?,Người đàn ông đứng ở phía sau đang quan sát.
7001078933.csv,Cầu thủ có đang thực hiện bài tập nào không?,"Có, cầu thủ đang thực hiện một bài tập chạy."
7001078933.csv,Có bao nhiêu người được nhìn thấy rõ trong ảnh đang tham gia vào hoạt động tập luyện?,"Có ít nhất hai người được nhìn thấy rõ đang tham gia vào hoạt động tập luyện, một người đang vật ngã và một người bị vật ngã."
7001078933.csv,Những loại thiết bị tập luyện nào được nhìn thấy trong ảnh?,Trong ảnh có thể thấy các hình trụ đệm màu đen và các hàng rào nhanh nhẹn màu cam.
7001078933.csv,Cầu thủ bóng bầu dục đang mặc loại đồng phục gì?,Cầu thủ bóng bầu dục đang mặc đồng phục đen trắng và đội mũ bảo hiểm trắng.
7001078933.csv,Người đang quan sát buổi tập luyện mặc quần áo màu gì?,Người đang quan sát buổi tập luyện mặc áo phông trắng và quần xám.
7001078933.csv,Địa điểm diễn ra buổi tập luyện bóng bầu dục là ở đâu?,Buổi tập luyện bóng bầu dục diễn ra trên một sân cỏ ngoài trời.
7001078933.csv,Có bao nhiêu người trong ảnh?,Có ba người trong ảnh.
7001078933.csv,Người đang mặc trang phục bóng bầu dục đội mũ màu gì?,Người đang mặc trang phục bóng bầu dục đội mũ màu trắng.
7001078933.csv,Loại thiết bị tập luyện nào được nhìn thấy trong ảnh?,"Có các con lăn đệm màu đen, hàng rào màu cam và hình nón màu cam."
7001078933.csv,Quả bóng bầu dục nằm ở đâu so với người mặc áo khoác đen?,Quả bóng bầu dục nằm phía trước người mặc áo khoác đen.
7001078933.csv,Người đứng ở phía sau mặc áo màu gì?,Người đứng ở phía sau mặc áo màu sáng.
7001078933.csv,Những loại dụng cụ nào được nhìn thấy trên sân tập?,"Có thể thấy các hình nón màu cam, các xi lanh có đệm, và các rào chắn thấp."
7001078933.csv,Có bao nhiêu quả bóng bầu dục được nhìn thấy trên ảnh?,Có ít nhất 2 quả bóng bầu dục được nhìn thấy.
7001078933.csv,Người trong ảnh mặc trang phục gì?,Người trong ảnh mặc trang phục bóng bầu dục.
7001078933.csv,Địa điểm trong ảnh có vẻ là gì?,Địa điểm trong ảnh có vẻ là một sân tập bóng bầu dục.
7001078933.csv,"Ngoài cầu thủ, còn có người nào khác trong ảnh không?",Có một người mặc áo trắng ở phía sau.
7001078933.csv,Có bao nhiêu cầu thủ bóng bầu dục trong ảnh đang mặc đồ bảo hộ?,Có hai cầu thủ bóng bầu dục đang mặc đồ bảo hộ.
7001078933.csv,Màu áo của một trong các cầu thủ là gì?,Một trong các cầu thủ mặc áo màu xanh lam.
7001078933.csv,Có những loại thiết bị tập luyện nào xuất hiện trong ảnh?,Có thiết bị tập luyện hình trụ màu đen và hình nón màu cam.
7001078933.csv,"Ngoài cầu thủ, còn có ai khác trong ảnh không?","Có một người lớn, có thể là huấn luyện viên, ở phía sau."
7001078933.csv,Các cầu thủ đang mặc áo màu gì?,"Một cầu thủ mặc áo màu xanh, và một cầu thủ mặc áo màu đen."
7001078933.csv,Bài tập này diễn ra ở đâu?,Bài tập diễn ra trên một sân cỏ.
7001078933.csv,Huấn luyện viên có đang tham gia vào bài tập không?,"Không, huấn luyện viên đang đứng quan sát từ phía sau."
7001078933.csv,Có bao nhiêu cầu thủ đang tập luyện trong ảnh?,Có hai cầu thủ đang tập luyện trong ảnh.
7001078933.csv,Mục đích của tấm đệm hình trụ màu đen là gì?,Tấm đệm có thể dùng để mô phỏng một đối thủ và giúp cầu thủ luyện tập tắc bóng hoặc chặn.
7001078933.csv,Cầu thủ trong ảnh đang mặc trang phục của đội nào?,Cầu thủ có vẻ đang mặc trang phục của đội The New York Giants.
7001078933.csv,Cầu thủ đang ngậm vật gì trong miệng?,Cầu thủ đang ngậm một miếng bảo vệ răng màu vàng.
7001078933.csv,Bối cảnh của bức ảnh là gì?,Bối cảnh của bức ảnh là một sân cỏ.
7001078933.csv,"Ngoài cầu thủ chính, còn có vật thể nào khác có liên quan đến bóng bầu dục trong ảnh?",Có một quả bóng bầu dục có thể nhìn thấy ở phía sau.
7001078933.csv,Trên sân có những vật thể màu cam nào?,Trên sân có một vài hình nón màu cam.
7001078933.csv,Có bao nhiêu người có thể nhìn thấy rõ trong ảnh?,"Có thể nhìn thấy rõ một hoặc hai người, những người khác bị mờ hoặc che khuất."
7001078933.csv,Những vật thể màu cam nào có trên sân?,Có các hình nón và rào chắn màu cam trên sân.
7001078933.csv,Các vật thể hình trụ màu đen có khả năng là gì?,Chúng có khả năng là hình nộm tập luyện.
7001078933.csv,Sân có vẻ đang được sử dụng cho môn thể thao nào?,Sân có vẻ đang được sử dụng cho bóng đá.
7001078933.csv,"Ngoài hình nộm, còn vật dụng nào khác được sử dụng để tập luyện?",Có một chiếc xô màu đỏ.
7001078933.csv,Có bao nhiêu người trong ảnh?,Có hai người trong ảnh.
7001078933.csv,Một trong số họ đang làm gì?,Một người có vẻ đang chạy.
7001078933.csv,Khung cảnh trong ảnh chủ yếu là màu gì?,Chủ yếu là màu xanh lá cây.
7001078933.csv,Có vật thể gì ở phía sau không?,"Có, có những vật thể trên mặt đất ở phía sau."
7001078933.csv,Địa điểm có vẻ là ở đâu?,Địa điểm có vẻ là một cánh đồng cỏ.
7001078933.csv,Cầu thủ trong ảnh đang mặc loại trang phục gì?,"Cầu thủ đang mặc mũ bảo hiểm, miếng đệm và đồng phục màu tối với điểm nhấn màu trắng."
7001078933.csv,Cầu thủ đang ở vị trí nào trên sân?,Cầu thủ đang ở trên sân cỏ.
7001078933.csv,Môn thể thao nào được chơi bởi người này?,Người này đang chơi bóng bầu dục Mỹ.
7001078933.csv,Có những vật thể gì khác trong ảnh ngoài cầu thủ?,"Có một sân cỏ, một số cây và tòa nhà ở phía xa, và một vạch trắng."
7001078933.csv,Tư thế của cầu thủ trong ảnh là gì?,Cầu thủ đang ở tư thế khom người.
7001078933.csv,Trong ảnh có những đối tượng gì?,"Trong ảnh có một cánh đồng, một vài ngôi nhà, cây cối, một chiếc xe hơi, một người và một vật thể nhỏ màu tối."
7001078933.csv,Người trong ảnh mặc quần áo màu gì?,Người trong ảnh mặc áo sơ mi trắng và quần đen.
7001078933.csv,Thời tiết trong ảnh như thế nào?,Có vẻ như thời tiết nhiều mây hoặc đang mưa.
7001078933.csv,Có bao nhiêu ngôi nhà được nhìn thấy trong ảnh?,Có một vài ngôi nhà được nhìn thấy ở hậu cảnh.
7001078933.csv,Chiếc xe hơi đang đỗ ở đâu?,Chiếc xe hơi đang đỗ gần một trong những ngôi nhà.
7149153537.csv,Người đàn ông trong ảnh đang làm gì?,Người đàn ông đang bế một em bé trong hồ bơi.
7149153537.csv,Em bé trong ảnh đang mặc gì?,Em bé đang mặc một bộ đồ bơi.
7149153537.csv,Hồ bơi trong ảnh là hồ bơi loại gì?,Hồ bơi trong ảnh là hồ bơi trong nhà.
7149153537.csv,Người đàn ông trong ảnh có đặc điểm gì nổi bật?,Người đàn ông bị hói đầu.
7149153537.csv,Trong ảnh có bao nhiêu người?,Trong ảnh có hai người.
7149153537.csv,Trong ảnh có mấy người?,Trong ảnh có hai người.
7149153537.csv,Người cha đang ở đâu?,Người cha đang ở trong hồ bơi.
7149153537.csv,Đứa trẻ mặc quần áo màu gì?,Đứa trẻ mặc quần áo màu hồng.
7149153537.csv,Người cha có đang nhìn vào máy ảnh không?,"Không, người cha đang quay lưng lại với máy ảnh."
7149153537.csv,Màu nước trong hồ bơi là màu gì?,Màu nước trong hồ bơi là màu xanh lục lam.
7149153537.csv,Đứa trẻ mặc đồ bơi màu gì?,Đứa trẻ mặc đồ bơi màu hồng.
7149153537.csv,Người đàn ông đang làm gì?,Người đàn ông đang bế đứa trẻ lên mép hồ bơi.
7149153537.csv,Hồ bơi có màu gì?,Hồ bơi có màu xanh lục lam.
7149153537.csv,Người đàn ông có tóc không?,"Không, người đàn ông bị hói đầu."
7149153537.csv,Có bao nhiêu người trong ảnh?,Có hai người trong ảnh.
7149153537.csv,Người đàn ông đang làm gì với đứa trẻ?,Người đàn ông đang bế đứa trẻ ở mép hồ bơi.
7149153537.csv,Họ đang ở đâu?,Họ đang ở trong hồ bơi.
7149153537.csv,Có số nào trên thành hồ bơi?,Có số 4 trên thành hồ bơi.
7149153537.csv,Trong ảnh có bao nhiêu người?,Có hai người trong ảnh.
7149153537.csv,Người lớn đang làm gì?,Người lớn đang bế đứa trẻ lên khỏi mặt nước.
7149153537.csv,Đứa trẻ mặc gì?,Đứa trẻ mặc một bộ đồ bơi màu hồng với cổ áo màu đỏ.
7149153537.csv,Họ đang ở đâu?,Họ đang ở trong một bể bơi.
7149153537.csv,Phía sau bể bơi có gì?,"Phía sau bể bơi có một lớp phủ hoặc bức tường lớn, trong suốt một phần."
7149153537.csv,Người đàn ông trong ảnh đang làm gì?,Người đàn ông đang bế một đứa trẻ nhỏ lên cao.
7149153537.csv,Người đàn ông ngập đến đâu trong hồ bơi?,Người đàn ông ngập đến ngực trong hồ bơi.
7149153537.csv,Có số gì được thấy bên cạnh hồ bơi?,Có số 4 được thấy bên cạnh hồ bơi.
7149153537.csv,Bức tường phía sau hồ bơi có màu gì?,Bức tường phía sau hồ bơi có màu sáng.
7149153537.csv,Em bé trong ảnh đang mặc gì?,Em bé đang mặc áo phao màu hồng.
7149153537.csv,Người lớn trong ảnh có đang nhìn vào máy ảnh không?,"Không, người lớn đang quay lưng lại với máy ảnh."
7149153537.csv,Trong ảnh có gì ở phía sau hồ bơi?,Phía sau hồ bơi là một bức tường màu trắng.
7149153537.csv,Trong ảnh có số nào được nhìn thấy ở bên cạnh hồ bơi?,Có số 4 được nhìn thấy ở bên cạnh hồ bơi.
7149153537.csv,Người lớn và em bé đang ở đâu?,Họ đang ở trong hồ bơi.
7149153537.csv,Trong ảnh có những ai?,Trong ảnh có một người đàn ông và một đứa trẻ.
7149153537.csv,Đứa trẻ đang mặc gì?,Đứa trẻ đang mặc áo phao màu hồng.
7149153537.csv,Hồ bơi có màu gì?,Hồ bơi có màu xanh nhạt.
7149153537.csv,Ở gần mép hồ có số gì?,Ở gần mép hồ có số 4.
7149153537.csv,Đằng sau hồ bơi có gì?,"Đằng sau hồ bơi có một bức tường trắng với một cấu trúc nào đó, có thể là tấm che hồ bơi."
7149153537.csv,Có bao nhiêu đứa trẻ trong bức ảnh?,Có hai đứa trẻ.
7149153537.csv,Đứa trẻ nào mặc áo bơi?,Đứa trẻ ở phía sau mặc áo bơi màu hồng hoặc đỏ.
7149153537.csv,Nước trong hồ bơi có màu gì?,Nước trong hồ bơi có màu xanh lục-lam.
7149153537.csv,Phía sau những đứa trẻ có cấu trúc gì?,"Phía sau những đứa trẻ có một cấu trúc bán trong suốt, có thể là một cái lều hoặc một cái lồng."
7149153537.csv,Đứa trẻ ở phía trước đang làm gì?,Đứa trẻ ở phía trước đang bơi (hoặc ở trong nước).
7149153537.csv,Người lớn đang làm gì?,Người lớn đang ôm một đứa trẻ trong bể bơi.
7149153537.csv,Đứa trẻ mặc quần áo màu gì?,Đứa trẻ mặc đồ màu hồng.
7149153537.csv,Họ đang ở đâu?,Họ đang ở trong bể bơi.
7149153537.csv,Có cái gì phía sau người đàn ông và đứa trẻ?,Phía sau họ có một bức tường được che phủ bằng tấm nhựa.
7149153537.csv,Em bé mặc đồ bơi màu gì?,Em bé mặc đồ bơi màu hồng hoặc đỏ.
7149153537.csv,Người đàn ông có nhìn thấy mặt không?,"Không, người đàn ông quay lưng lại với máy ảnh."
7149153537.csv,Nước trong bể bơi có trong không?,"Không, nước trong bể bơi hơi đục."
7149153537.csv,Em bé đang mặc áo phao màu gì?,Màu hồng.
7149153537.csv,Có bao nhiêu người trong hồ bơi?,Hai người.
7149153537.csv,Người lớn đang quay mặt về phía nào?,Quay lưng lại với máy ảnh.
7149153537.csv,Họ đang ở đâu?,Trong hồ bơi.
7149153537.csv,Người lớn đang làm gì với em bé?,Bế em bé.
7149153537.csv,Bé gái mặc đồ bơi màu gì?,Bé gái mặc đồ bơi màu hồng.
7149153537.csv,Hai người đang ở đâu?,Hai người đang ở trong hồ bơi.
7149153537.csv,Người cha có mặc áo không?,"Không, người cha không mặc áo."
7149153537.csv,Tấm bạt trắng ở phía sau có tác dụng gì?,"Không thể chắc chắn, có thể là để che chắn hoặc giữ nhiệt cho hồ bơi."
7149153537.csv,Em bé đang mặc gì?,Em bé đang mặc đồ bơi màu hồng hoặc đỏ.
7149153537.csv,Người đàn ông đang làm gì?,Người đàn ông đang bế em bé trong nước.
7149153537.csv,Màu nước trong bể bơi như thế nào?,Màu nước trong bể bơi là xanh ngọc lam hoặc xanh lục.
7149153537.csv,Ai đang ở trong hồ bơi?,Một người đàn ông và một em bé đang ở trong hồ bơi.
7149153537.csv,Em bé đang mặc gì?,Em bé đang mặc một bộ đồ bơi màu hồng.
7149153537.csv,Người đàn ông đang làm gì với em bé?,Người đàn ông đang bế em bé.
7149153537.csv,Họ đang ở loại hồ bơi nào?,Họ có vẻ đang ở trong một hồ bơi trong nhà.
7149153537.csv,Nước trong hồ bơi như thế nào?,Nước trong hồ bơi trong và sáng.
7149153537.csv,Ai đang bế em bé trong ảnh?,Một người đàn ông đang bế em bé.
7149153537.csv,Em bé mặc đồ bơi màu gì?,Em bé mặc đồ bơi màu hồng.
7149153537.csv,Họ đang ở đâu trong ảnh?,Họ đang ở trong hồ bơi.
7149153537.csv,Màu nước trong hồ bơi là gì?,Nước trong hồ bơi có màu xanh lục.
7149153537.csv,Có bao nhiêu người trong ảnh mà ta có thể thấy rõ mặt?,Có hai người trong ảnh mà ta có thể thấy rõ mặt: một người đàn ông và một em bé.
7149153537.csv,Có bao nhiêu người trong hồ bơi?,Có bốn người trong hồ bơi.
7149153537.csv,Có bao nhiêu trẻ em trong ảnh?,Có hai trẻ em trong ảnh.
7149153537.csv,Các em bé mặc gì?,Các em bé mặc đồ bơi hoặc phao.
7149153537.csv,Hành động chính đang diễn ra là gì?,Mọi người đang bơi và vui chơi trong hồ bơi.
7149153537.csv,Màu của tường phía sau là gì?,Tường phía sau có màu trắng.
7149153537.csv,Có bao nhiêu người trong bức ảnh?,Có bốn người trong bức ảnh.
7149153537.csv,Một trong những đứa trẻ mặc đồ bơi màu gì?,Một trong những đứa trẻ mặc đồ bơi màu hồng.
7149153537.csv,Hồ bơi này là ở trong nhà hay ngoài trời?,Hồ bơi này ở trong nhà.
7149153537.csv,Người lớn nào đang đỡ đứa trẻ mặc đồ bơi màu hồng?,Người lớn hói đầu đang đỡ đứa trẻ mặc đồ bơi màu hồng.
7149153537.csv,"Ngoài đồ bơi màu hồng, đứa trẻ còn lại mặc đồ bơi màu gì?","Ngoài màu hồng, đứa trẻ còn lại mặc đồ bơi nhiều màu."
7149153537.csv,Trong ảnh có bao nhiêu người?,Có tổng cộng năm người: ba người lớn và hai trẻ em.
7149153537.csv,Bức ảnh này được chụp ở đâu?,Bức ảnh này có vẻ được chụp ở một bể bơi trong nhà.
7149153537.csv,Ai đang bế em bé trong ảnh?,Một người đàn ông hói đầu đang bế em bé.
7149153537.csv,"Ngoài bé gái được bế, còn có bao nhiêu trẻ em khác trong ảnh?","Ngoài bé gái được bế, còn có một trẻ em khác trong ảnh."
7149153537.csv,Trong ảnh có mấy người lớn đang ở trong hồ bơi?,Có ít nhất hai người lớn trong hồ bơi.
7149153537.csv,Đứa bé mà người đàn ông hói đầu đang bế mặc áo màu gì?,Đứa bé mặc áo màu hồng.
7149153537.csv,Họ đang ở đâu?,Họ đang ở trong một hồ bơi trong nhà.
7149153537.csv,"Ngoài đứa bé được bế, còn có mấy đứa bé khác trong hồ bơi?","Có một đứa bé khác trong hồ bơi, đeo phao tay màu hồng."
7149153537.csv,Phông nền phía sau hồ bơi có màu gì?,Phông nền phía sau hồ bơi có màu trắng hoặc sáng.
7149153537.csv,Em bé đang mặc đồ màu gì?,Em bé đang mặc áo phao màu hồng.
7149153537.csv,Có bao nhiêu người trong ảnh có thể nhìn thấy rõ mặt?,Có hai người trong ảnh có thể nhìn thấy rõ mặt.
7149153537.csv,Hồ bơi này ở trong nhà hay ngoài trời?,Hồ bơi này ở trong nhà.
7149153537.csv,Người lớn trong ảnh có đang bơi không?,Có vẻ như người lớn đang đứng hoặc lội trong nước chứ không bơi.
7149153537.csv,Em bé có vẻ đang làm gì với tay?,Em bé đang để tay gần miệng.
7149153537.csv,Có bao nhiêu người trong hồ bơi?,Có ít nhất hai người trong hồ bơi.
7149153537.csv,Em bé có mặc áo phao không?,Có vẻ như em bé đang mặc một loại áo phao hoặc áo tắm nổi màu hồng.
7149153537.csv,Người đàn ông đang làm gì?,Người đàn ông đang bế và hỗ trợ em bé trong nước.
7149153537.csv,Hồ bơi này ở trong nhà hay ngoài trời?,Hồ bơi này có vẻ ở trong nhà.
7149153537.csv,Có gì ở phía sau hồ bơi?,Có một mép hồ bơi và một tấm chắn bảo vệ ở phía sau hồ bơi.
7149153537.csv,Trong ảnh có bao nhiêu người?,Có ít nhất ba người trong ảnh.
7149153537.csv,Đứa trẻ trong ảnh đang mặc gì?,Đứa trẻ đang mặc một bộ đồ bơi màu hồng hoặc đỏ.
7149153537.csv,Người đàn ông và đứa trẻ đang ở đâu?,Họ đang ở trong một hồ bơi.
7149153537.csv,Màu nước trong hồ bơi như thế nào?,Nước trong hồ bơi có vẻ trong suốt.
7149153537.csv,Có cấu trúc nào bao quanh hồ bơi không?,"Có vẻ như có một cấu trúc xung quanh hoặc phía trên hồ bơi, được bao phủ bởi một bề mặt phản chiếu."
7149153537.csv,Có bao nhiêu người trong hồ bơi?,"Có ít nhất hai người trong hồ bơi, và một phần của người thứ ba."
7149153537.csv,Em bé mặc gì?,Em bé mặc đồ bơi màu hồng.
7149153537.csv,Người đàn ông đang làm gì với em bé?,Người đàn ông có vẻ đang giữ em bé trong nước.
7149153537.csv,Màu nước trong hồ bơi là màu gì?,Màu nước trong hồ bơi là màu xanh lục nhạt.
7149153537.csv,Có bao nhiêu người trong ảnh?,Có ba người trong ảnh.
7149153537.csv,Đứa trẻ mặc áo màu gì?,Đứa trẻ mặc áo màu hồng.
7149153537.csv,Những người trong ảnh đang ở đâu?,Họ đang ở trong một hồ bơi.
7149153537.csv,Người đàn ông ở giữa đang làm gì?,Anh ấy đang ôm một đứa trẻ.
7149153537.csv,Hồ bơi này có vẻ như là trong nhà hay ngoài trời?,Hồ bơi này có vẻ như là trong nhà.
7149153537.csv,Người đàn ông trong ảnh có đặc điểm gì nổi bật?,Người đàn ông có làn da trắng và dường như bị hói đầu.
7149153537.csv,Đứa trẻ đang mặc gì?,Đứa trẻ đang mặc áo phao màu đỏ hoặc cam.
7149153537.csv,Hồ bơi này có vẻ là ở trong nhà hay ngoài trời?,Hồ bơi có vẻ là ở trong nhà hoặc khu vực có mái che.
7149153537.csv,"Ngoài người đàn ông và đứa trẻ, còn có ai khác trong ảnh không?","Có, có một người khác được nhìn thấy một phần ở góc dưới bên trái của khung hình."
7149153537.csv,Mặt nước hồ bơi như thế nào?,Mặt nước hồ bơi gợn sóng.
7149153537.csv,Trong ảnh có bao nhiêu người?,"Trong ảnh có ít nhất hai người, có thể có ba."
7149153537.csv,Đứa trẻ đang mặc gì?,Đứa trẻ đang mặc áo phao màu cam hoặc hồng.
7149153537.csv,Người đàn ông đang làm gì?,Người đàn ông đang bế đứa trẻ.
7149153537.csv,Trong ảnh có mấy người?,Trong ảnh có ba người.
7149153537.csv,Bé gái đang mặc gì?,Bé gái đang mặc áo phao màu hồng.
